Timestamp, °C, %RH,
15/12/2017 10:18,23.2,43.8,
15/12/2017 10:19,23.2,43.8,
15/12/2017 10:20,23.2,43.9,
15/12/2017 10:21,23.2,43.8,
15/12/2017 10:22,23.3,43.9,
15/12/2017 10:23,23.3,43.8,
15/12/2017 10:24,23.3,43.8,
15/12/2017 10:25,23.3,43.8,
15/12/2017 10:26,23.3,43.9,
15/12/2017 10:27,23.3,43.8,
15/12/2017 10:28,23.3,43.8,
15/12/2017 10:29,23.3,43.9,
15/12/2017 10:30,23.3,43.7,
15/12/2017 10:31,23.3,43.6,
15/12/2017 10:32,23.3,43.6,
15/12/2017 10:33,23.4,43.6,
15/12/2017 10:34,23.4,43.5,
15/12/2017 10:35,23.4,43.5,
15/12/2017 10:36,23.4,43.6,
15/12/2017 10:37,23.4,43.6,
15/12/2017 10:38,23.4,43.3,
15/12/2017 10:39,23.4,43.3,
15/12/2017 10:40,23.4,43.3,
15/12/2017 10:41,23.4,43.2,
15/12/2017 10:42,23.4,43.3,
15/12/2017 10:43,23.5,43.2,
15/12/2017 10:44,23.5,43.2,
15/12/2017 10:45,23.5,43.2,
15/12/2017 10:46,23.5,43.2,
15/12/2017 10:47,23.5,43,
15/12/2017 10:48,23.4,42.6,
15/12/2017 10:49,23.4,42.5,
15/12/2017 10:50,23.4,42.7,
15/12/2017 10:51,23.4,42.8,
15/12/2017 10:52,23.4,42.7,
15/12/2017 10:53,23.4,42.8,
15/12/2017 10:54,23.4,42.8,
15/12/2017 10:55,23.4,42.5,
15/12/2017 10:56,23.4,42.5,
15/12/2017 10:57,23.4,42.4,
15/12/2017 10:58,23.4,42.6,
15/12/2017 10:59,23.4,42.8,
15/12/2017 11:00,23.4,42.5,
15/12/2017 11:01,23.3,42.9,
15/12/2017 11:02,23.3,42.6,
15/12/2017 11:03,23.3,42.9,
15/12/2017 11:04,23.3,42.5,
15/12/2017 11:05,23.3,42.5,
15/12/2017 11:06,23.3,42.7,
15/12/2017 11:07,23.3,42.5,
15/12/2017 11:08,23.3,42.6,
15/12/2017 11:09,23.3,42.4,
15/12/2017 11:10,23.3,42.6,
15/12/2017 11:11,23.3,42.6,
15/12/2017 11:12,23.3,42.5,
15/12/2017 11:13,23.3,42.8,
15/12/2017 11:14,23.3,42.7,
15/12/2017 11:15,23.2,42.7,1
15/12/2017 11:16,23.2,42.8,
15/12/2017 11:17,23.2,42.7,
15/12/2017 11:18,23.2,43,
15/12/2017 11:19,23.2,42.5,
15/12/2017 11:20,23.2,42.6,
15/12/2017 11:21,23.2,42.7,
15/12/2017 11:22,23.2,42.7,
